source_error	https://www.dcceew.gov.au/rss-feed	https://www.dcceew.gov.au/rss-feed	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.aemo.com.au/newsroom	https://www.aemo.com.au/newsroom	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom
source_error	https://www.aemo.com.au/newsroom/media-release	https://www.aemo.com.au/newsroom/media-release	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom/media-release
source_error	https://www.aer.gov.au/news	https://www.aer.gov.au/news	HTTPSConnectionPool(host='www.aer.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.infrastructureaustralia.gov.au/news-media	https://www.infrastructureaustralia.gov.au/news-media	HTTPSConnectionPool(host='www.infrastructureaustralia.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.iea.org/news	https://www.iea.org/news	403 Client Error: Forbidden for url: https://www.iea.org/news
source_error	https://www.irena.org/news	https://www.irena.org/news	403 Client Error: Forbidden for url: https://www.irena.org/news
source_error	https://www.irena.org/Newsroom/Articles	https://www.irena.org/Newsroom/Articles	403 Client Error: Forbidden for url: https://www.irena.org/Newsroom/Articles
source_error	https://www.dcceew.gov.au/energy/news	https://www.dcceew.gov.au/energy/news	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
low_substance	score=-1 min=2	https://www.aemc.gov.au/news-centre/media-releases
out_of_range		https://www.cer.gov.au/schemes/australian-carbon-credit-unit-scheme/how-to-participate-accu-scheme/project-reporting-and-audits
out_of_range		https://www.cer.gov.au/markets/reports-and-data/accu-project-and-contract-register
out_of_range		https://www.cer.gov.au/schemes/national-greenhouse-and-energy-reporting-scheme
out_of_range		https://www.cer.gov.au/schemes/national-greenhouse-and-energy-reporting-scheme/report-emissions-and-energy
out_of_range		https://www.cer.gov.au/schemes/national-greenhouse-and-energy-reporting-scheme/assess-your-obligations
out_of_range		https://www.cer.gov.au/schemes/national-greenhouse-and-energy-reporting-scheme/record-keeping-and-compliance-greenhouse-and-energy-reporting
out_of_range		https://www.cer.gov.au/schemes/national-greenhouse-and-energy-reporting-scheme/register-nger-reporter
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism/safeguard-baselines
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism/safeguard-net-emissions
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism/managing-excess-emissions
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism/safeguard-mechanism-credit-units
out_of_range		https://www.cer.gov.au/schemes/safeguard-mechanism/safeguard-mechanism-1-july-2023
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme/product-guarantee-origin
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme/product-guarantee-origin/how-to-participate-pgo
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme/renewable-electricity-guarantee-origin
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme/renewable-electricity-guarantee-origin/how-to-participate-rego
out_of_range		https://www.cer.gov.au/schemes/guarantee-origin-scheme/designing-guarantee-origin
out_of_range		https://www.cer.gov.au/schemes/nature-repair-market-scheme
out_of_range		https://www.cer.gov.au/schemes/nature-repair-market-scheme/how-to-participate-nature-repair-market-scheme
out_of_range		https://www.cer.gov.au/schemes/nature-repair-market-scheme/replanting-native-forest-and-woodland-ecosystems-method
out_of_range		https://www.cer.gov.au/markets/biodiversity-certificates
out_of_range		https://www.cer.gov.au/markets/reports-and-data/biodiversity-market-register
out_of_range		https://www.cer.gov.au/schemes/audits-our-schemes
out_of_range		https://www.cer.gov.au/schemes/audits-our-schemes/find-auditor
out_of_range		https://www.cer.gov.au/schemes/audits-our-schemes/audit-teams-and-quality-management
out_of_range		https://www.cer.gov.au/schemes/audits-our-schemes/register-auditor
out_of_range		https://www.cer.gov.au/schemes/audits-our-schemes/maintain-your-registration-auditor
out_of_range		https://www.cer.gov.au/markets
out_of_range		https://www.cer.gov.au/markets/carbon-credits
out_of_range		https://www.cer.gov.au/markets/reports-and-data
out_of_range		https://www.cer.gov.au/markets/renewable-energy-certificates
out_of_range		https://www.cer.gov.au/markets/interoperability-unit-and-certificate-registry
out_of_range		https://www.cer.gov.au/markets/international-units
out_of_range		https://www.cer.gov.au/markets/voluntary-offsetting-and-surrender
out_of_range		https://www.cer.gov.au/news-and-media
out_of_range		https://www.cer.gov.au/news-and-media/news
out_of_range		https://www.cer.gov.au/news-and-media/events-and-webinars
out_of_range		https://www.cer.gov.au/news-and-media/case-studies
out_of_range		https://www.cer.gov.au/news-and-media/public-consultations
out_of_range		https://www.cer.gov.au/online-systems
out_of_range		https://www.cer.gov.au/online-systems#online-services
out_of_range		https://www.cer.gov.au/online-systems#rec-registry
out_of_range		https://www.cer.gov.au/online-systems#australian-national-registry-of-emissions-units
out_of_range		https://www.cer.gov.au/online-systems#emissions-and-energy-reporting-system
out_of_range		https://www.cer.gov.au/online-systems/new-unit-and-certificate-registry
out_of_range		https://www.cer.gov.au/online-systems#client-portal
out_of_range		https://www.cer.gov.au/
out_of_range		https://www.cer.gov.au/news-and-media/media-centre/media-releases
out_of_range		https://www.cer.gov.au/news-and-media/news/2026/january/explore-q4-2025-qcmr-data-workbook
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/fifth-independent-review-hir-gateway-checks
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/changes-to-cheaper-home-batteries-program
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/register-solar-water-heaters-version-56-now-available
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/fixed-delivery-exit-arrangement-now-permanent
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/market-update-fixed-delivery-exit-arrangement
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/december/renewable-energy-target-enforcement-action-against-mojo-power-east
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/2024-25-preliminary-safeguard-mechanism-insights-released
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/recall-issued-sigenergy-single-phase-81012-kw-energy-controllers
out_of_range		https://www.cer.gov.au/news-and-media/news?page=0
out_of_range		https://www.cer.gov.au/news-and-media/news?page=1
out_of_range		https://www.cer.gov.au/news-and-media/news?page=2
out_of_range		https://www.cer.gov.au/news-and-media/news?page=3
out_of_range		https://www.cer.gov.au/about-us/our-policies/privacy-policy
out_of_range		https://www.cer.gov.au/about-us/our-policies/accessibility
out_of_range		https://www.cer.gov.au/about-us/our-policies/copyright
out_of_range		https://www.cer.gov.au/about-us/social-media-guidelines
out_of_range		https://www.cer.gov.au/about-us/our-reports-and-accountability/freedom-information-foi
out_of_range		https://www.cer.gov.au/about-us/our-policies/artificial-intelligence-transparency-statement
out_of_range		https://www.cer.gov.au/about-us/our-policies/disclaimer
out_of_range		https://www.cer.gov.au/glossary
out_of_range		https://www.cer.gov.au/markets/reports-and-data/quarterly-carbon-market-reports
out_of_range		https://www.cer.gov.au/news-and-media/news?page=1#main-content
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/clean-energy-regulator-committed-to-product-safety
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/major-advance-australian-carbon-market-infrastructure
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/upcoming-changes-to-battery-liability
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/november/guarantee-origin-scheme-launches
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/october/read-clean-energy-regulator-2024-25-annual-report
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/october/compliance-update-july-to-september-2025
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/october/notify-regulator-form-now-online-services
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/october/q3-2025-qcmr-data-workbook-available-now
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/september/clean-energy-regulator-pursues-enforcement-federal-court-civil-penalty-orders
out_of_range		https://www.cer.gov.au/news-and-media/news?page=2#main-content
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/september/solar-battery-recall-shows-regulatory-systems-work
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/september/solar-battery-installations-rise
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/september/dob-dodgy-participant
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/august/clean-energy-regulator-permanently-suspends-registered-person
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/august/solar-battery-postcode-data-now-available-july-2025
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/august/first-project-registered-under-nature-repair-market-scheme
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/compliance-and-enforcement-priorities-2025-26
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/fourth-independent-review-hir-gateway-checks
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/accu-scheme-transparency-changes-complete
out_of_range		https://www.cer.gov.au/news-and-media/news?page=4
out_of_range		https://www.cer.gov.au/news-and-media/news?page=3#main-content
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/q2-2025-qcmr-data-workbook-available-now
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/compliance-update-april-to-june-2025
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/clean-energy-regulator-accepts-enforceable-undertaking-beach-energy
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/july/solar-batteries-now-eligible-under-sres
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/renewable-energy-regulations-amended-to-support-solar-battery-installations-under-sres
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/accu-scheme-transparency-changes-continue
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/unaccredited-solar-installer-convicted
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/nger-legislation-amendments-2025-26-reporting-year
